,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
antetgi01 2017,Giannis Antetokounmpo,2014,2022,6-11,242,22,MIL,NBA,SF,6,6,40.5,10.0,18.7,.536,0.7,1.7,.400,9.3,17.0,.549,.554,4.2,7.7,.543,1.7,7.8,9.5,4.0,2.2,1.7,3.3,3.5,24.8
antetgi01 2018,Giannis Antetokounmpo,2014,2022,6-11,242,23,MIL,NBA,PF,7,7,40.0,9.9,17.3,.570,0.6,2.0,.286,9.3,15.3,.607,.587,5.4,7.9,.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4.0,25.7
antetgi01 2019,Giannis Antetokounmpo,2014,2022,6-11,242,24,MIL,NBA,PF,15,15,34.3,8.6,17.5,.492,1.2,3.7,.327,7.4,13.8,.536,.527,7.1,11.2,.637,2.5,9.8,12.3,4.9,1.1,2.0,3.3,3.2,25.5
antetgi01 2020,Giannis Antetokounmpo,2014,2022,6-11,242,25,MIL,NBA,PF,9,9,30.8,10.0,17.9,.559,1.4,4.4,.325,8.6,13.4,.636,.599,5.2,9.0,.580,3.0,10.8,13.8,5.7,0.7,0.9,3.3,3.4,26.7
antetgi01 2021,Giannis Antetokounmpo,2014,2022,6-11,242,26,MIL,NBA,PF,21,21,38.1,11.9,20.9,.569,0.6,3.3,.186,11.3,17.6,.642,.584,5.8,9.8,.587,2.8,10.0,12.8,5.1,1.0,1.2,3.0,2.9,30.2
anticpe01 2014,Pero Antić,2014,2015,6-11,260,31,ATL,NBA,C,7,7,24.3,1.0,6.0,.167,0.4,3.6,.120,0.6,2.4,.235,.202,0.7,1.1,.625,1.4,2.4,3.9,0.7,0.7,0.4,1.1,3.7,3.1
anticpe01 2015,Pero Antić,2014,2015,6-11,260,32,ATL,NBA,C,15,1,13.3,1.1,3.3,.320,0.7,2.1,.344,0.3,1.2,.278,.430,1.3,1.7,.800,0.6,2.3,2.9,0.3,0.1,0.2,0.3,2.5,4.2
araujra01 2007,Rafael Araújo,2005,2007,6-11,280,26,UTA,NBA,C,5,0,5.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,1.0,2.4,.417,0.6,1.6,2.2,0.2,0.2,0.0,0.0,1.6,2.2
anthojo01 2009,Joel Anthony,2008,2017,6-9,245,26,MIA,NBA,C,6,2,14.7,0.7,0.8,.800,0.0,0.0,,0.7,0.8,.800,.800,0.3,0.3,1.000,1.5,1.7,3.2,0.3,0.0,1.2,0.2,1.5,1.7
anthojo01 2010,Joel Anthony,2008,2017,6-9,245,27,MIA,NBA,C,5,0,15.8,1.0,1.4,.714,0.0,0.0,,1.0,1.4,.714,.714,0.6,0.8,.750,1.2,0.6,1.8,0.2,0.4,1.0,0.2,1.8,2.6
anthojo01 2011,Joel Anthony,2008,2017,6-9,245,28,MIA,NBA,C,21,13,27.4,0.9,2.3,.367,0.0,0.0,,0.9,2.3,.367,.367,1.0,1.5,.710,1.7,3.0,4.6,0.5,0.4,1.8,0.6,2.6,2.8
anthojo01 2012,Joel Anthony,2008,2017,6-9,245,29,MIA,NBA,C,17,1,19.4,1.0,1.7,.586,0.0,0.0,,1.0,1.7,.586,.586,1.2,1.5,.800,1.3,1.9,3.2,0.1,0.3,0.9,0.5,2.4,3.2
anthojo01 2013,Joel Anthony,2008,2017,6-9,245,30,MIA,NBA,C,14,0,5.1,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.0,0.0,,0.7,0.8,1.5,0.0,0.1,0.3,0.2,0.9,0.4
anthojo01 2017,Joel Anthony,2008,2017,6-9,245,34,SAS,NBA,C,3,0,5.0,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,0.0,0.3,.000,0.7,0.7,1.3,0.0,0.0,0.7,0.3,0.7,2.0
anthogr01 1992,Greg Anthony,1992,2002,6-0,176,24,NYK,NBA,PG,12,0,17.8,1.6,3.8,.413,0.4,1.0,.417,1.2,2.8,.412,.467,1.7,2.8,.606,0.3,1.1,1.4,3.4,1.3,0.1,1.1,2.3,5.3
anthogr01 1993,Greg Anthony,1992,2002,6-0,176,25,NYK,NBA,PG,15,0,16.0,1.6,4.0,.400,0.2,0.9,.214,1.4,3.1,.457,.425,0.5,0.9,.571,0.3,1.7,2.0,3.5,0.9,0.1,0.7,1.7,3.9
anthogr01 1994,Greg Anthony,1992,2002,6-0,176,26,NYK,NBA,PG,25,3,17.4,1.8,5.1,.352,0.7,2.4,.295,1.1,2.7,.403,.422,0.6,1.0,.583,0.4,0.7,1.1,2.4,0.8,0.3,1.2,2.2,4.9
anthogr01 1995,Greg Anthony,1992,2002,6-0,176,27,NYK,NBA,PG,11,0,12.3,1.4,3.5,.395,0.6,2.1,.304,0.7,1.4,.533,.487,0.9,1.0,.909,0.2,0.7,0.9,1.4,0.2,0.2,0.5,2.5,4.3
anthogr01 1998,Greg Anthony,1992,2002,6-0,176,30,SEA,NBA,PG,9,0,13.1,1.3,4.4,.300,0.6,2.1,.263,0.8,2.3,.333,.363,0.3,0.9,.375,0.3,0.8,1.1,1.1,0.6,0.1,1.2,1.9,3.6
